Datetime,Open,High,Low,Close,Volume,short_MA,long_MA,short_lag1_MA,long_lag1_MA,sell,buy,buy_price,sell_price,PnL
2023-04-06 09:30:00-04:00,162.42999267578125,162.72999572753906,162.0449981689453,162.72999572753906,1710997,,,,,0.0,0.0,,,
2023-04-06 09:31:00-04:00,162.72000122070312,162.74000549316406,162.38999938964844,162.4499969482422,261920,,,,,0.0,0.0,,,
2023-04-06 09:32:00-04:00,162.4600067138672,162.49000549316406,162.1300048828125,162.14999389648438,366370,,,,,0.0,0.0,,,
2023-04-06 09:33:00-04:00,162.16000366210938,162.2519989013672,162.08999633789062,162.11000061035156,286884,,,,,0.0,0.0,,,
2023-04-06 09:34:00-04:00,162.10000610351562,162.13699340820312,162.0399932861328,162.05999755859375,168756,,,,,0.0,0.0,,,
2023-04-06 09:35:00-04:00,162.05999755859375,162.1649932861328,162.0399932861328,162.14999389648438,160452,,,,,0.0,0.0,,,
2023-04-06 09:36:00-04:00,162.13999938964844,162.32000732421875,162.08999633789062,162.13499450683594,205161,,,,,0.0,0.0,,,
2023-04-06 09:37:00-04:00,162.13499450683594,162.30999755859375,162.11500549316406,162.3070068359375,212170,,,,,0.0,0.0,,,
2023-04-06 09:38:00-04:00,162.30499267578125,162.4149932861328,162.0,162.41000366210938,310385,,,162.28119812011718,,0.0,0.0,,,
2023-04-06 09:39:00-04:00,162.39999389648438,162.4499969482422,162.3000030517578,162.30999755859375,161769,162.28119812011718,,162.2225784301758,,0.0,0.0,,,
2023-04-06 09:40:00-04:00,162.3000030517578,162.32029724121094,162.1300048828125,162.143798828125,176443,162.2225784301758,,162.20957946777344,,0.0,0.0,,,
2023-04-06 09:41:00-04:00,162.15499877929688,162.35499572753906,162.14500427246094,162.32000732421875,154735,162.20957946777344,,162.2300796508789,,0.0,0.0,,,
2023-04-06 09:42:00-04:00,162.3249969482422,162.39999389648438,162.29010009765625,162.35499572753906,106427,162.2300796508789,,162.25218963623047,,0.0,0.0,,,
2023-04-06 09:43:00-04:00,162.35499572753906,162.36000061035156,162.2100067138672,162.3311004638672,122754,162.25218963623047,,162.27819061279297,,0.0,0.0,,,
2023-04-06 09:44:00-04:00,162.3300018310547,162.3800048828125,162.24000549316406,162.32000732421875,129503,162.27819061279297,,162.27635192871094,,0.0,0.0,,,
2023-04-06 09:45:00-04:00,162.33189392089844,162.33189392089844,162.11000061035156,162.13160705566406,130266,162.27635192871094,,162.27485198974608,,0.0,0.0,,,
2023-04-06 09:46:00-04:00,162.13499450683594,162.2100067138672,162.0800018310547,162.1199951171875,109121,162.27485198974608,,162.25865173339844,,0.0,0.0,,,
2023-04-06 09:47:00-04:00,162.1199951171875,162.27999877929688,162.110595703125,162.14500427246094,145897,162.25865173339844,,162.23565063476562,,0.0,0.0,,,
2023-04-06 09:48:00-04:00,162.14999389648438,162.22999572753906,162.02999877929688,162.17999267578125,113434,162.23565063476562,,162.22187042236328,,0.0,0.0,,,
2023-04-06 09:49:00-04:00,162.17999267578125,162.1999969482422,162.0449981689453,162.1721954345703,112005,162.22187042236328,,162.24721069335936,,0.0,0.0,,,
